DEFAULT,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,NINQ,CLNO,DEBTINC
0,1100,25860,39025,10.5,0,0,1,9,
1,1300,70053,68400,7,0,2,0,14,
0,1500,13500,16700,4,0,0,1,10,
0,1500,,,,,,,,
0,1700,97800,112000,3,0,0,0,14,
1,1700,30548,40320,9,0,0,1,8,37.11361356
0,1800,48649,57037,5,3,2,1,17,
1,1800,28502,43034,11,0,0,0,8,36.88489409
0,2000,32700,46740,3,0,2,1,12,
0,2000,,62250,16,0,0,0,13,
1,2000,22608,,18,,,,,
0,2000,20627,29800,11,0,1,1,9,
1,2000,45000,55000,3,0,0,2,25,
0,2000,64536,87400,2.5,0,0,0,24,
1,2100,71000,83850,8,0,1,0,16,
0,2200,24280,34687,,0,1,0,8,
0,2200,90957,102600,7,2,6,1,22,
0,2200,23030,,19,,,,,3.7113123
1,2300,28192,40150,4.5,0,0,1,16,
0,2300,102370,120953,2,0,0,0,13,31.58850318
1,2300,37626,46200,3,0,1,1,14,
0,2400,50000,73395,5,1,0,1,0,
0,2400,28000,40800,12,0,0,2,22,
0,2400,18000,,22,,2,0,10,
1,2400,,17180,,0,0,3,4,
1,2400,34863,47471,12,0,0,1,21,38.26360073
0,2400,98449,117195,4,0,0,0,13,29.68182705
1,2500,15000,20200,18,0,0,1,19,
1,2500,25116,36350,10,1,2,0,9,
0,2500,7229,44516,,0,0,0,12,
0,2500,71408,78600,8,0,0,0,12,
1,2800,50795,63100,26,2,15,3,45,
1,2800,4000,60850,16,4,0,2,9,
1,2900,78600,113000,6,1,0,2,26,
0,2900,103949,112505,1,0,0,0,13,30.05113629
0,2900,104373,120702,2,0,0,0,13,29.91585903
1,2900,7750,67996,16,3,0,2,8,36.211348
1,2900,61962,70915,2,0,0,3,37,49.20639579
0,3000,104570,121729,2,0,0,0,14,32.05978327
1,3000,7000,20300,3,0,0,5,9,
1,3000,,8800,2,0,1,0,3,
0,3000,,33000,1,0,1,1,2,
0,3000,119826,193500,8,0,0,0,27,
0,3000,20000,29750,2,0,0,0,12,
0,3000,,14500,3,0,0,14,2,
0,3000,,14100,1,0,0,0,19,
1,3000,47000,82700,10,0,1,5,26,
1,3000,34542,45900,8.5,0,2,0,10,
0,3000,58000,71500,10,,2,0,25,
0,3000,47000,56400,21,0,0,0,20,
1,3100,39589,36100,1.5,0,0,1,14,
0,3100,,70400,,,,,,
0,3200,67848,74566,10,,1,0,25,40.11567728
1,3200,48603,61000,28,0,4,1,25,
0,3200,27200,40834,,0,0,0,7,35.55353879
1,3200,54000,64850,1,0,0,3,21,
0,3200,74864,87266,7,0,0,0,12,42.90999735
