latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,price
42.2826188,-71.13306793,House,4,1.5,2,3,250.00
42.28624082,-71.13437396,Apartment,2,1,1,1,65.00
42.29243789,-71.13576525,Apartment,2,1,1,1,65.00
42.28110619,-71.12102117,House,4,1,1,2,75.00
42.28451221,-71.13625805,House,2,1.5,1,2,79.00
42.2916898,-71.13189277,Condominium,2,1,1,1,75.00
42.28138963,-71.13119042,Apartment,3,1,1,2,100.00
42.2819461,-71.14102161,House,2,2,1,1,75.00
42.28587764,-71.12490956,Condominium,2,1,1,2,58.00
42.28882028,-71.1395101,Apartment,5,1,2,2,229.00
42.2864482,-71.13932539,House,2,1,1,1,60.00
42.28194183,-71.1333719,House,1,1,1,1,57.00
42.29172341,-71.13155602,Condominium,4,1,2,2,93.00
42.28764103,-71.12988287,Apartment,5,1,2,3,150.00
42.28626474,-71.13706513,House,2,1.5,2,2,145.00
42.28145207,-71.12925004,Apartment,1,0,1,1,60.00
42.27440801,-71.12529404,House,4,1,1,3,165.00
42.29181492,-71.13158793,Condominium,2,1,1,1,75.00
42.28222476,-71.11518856,House,1,1,1,1,49.00
42.28280175,-71.11514509,House,2,1,1,1,49.00
42.27964782,-71.13605873,Villa,1,2.5,1,1,40.00
42.29403534,-71.13223725,House,3,1,0,2,120.00
42.28052813,-71.13084254,Apartment,2,0,1,1,70.00
42.27838291,-71.1287801,House,8,1,3,5,150.00
42.27683095,-71.12955974,House,5,3.5,4,3,175.00
42.29090393,-71.13023771,House,2,1.5,1,1,95.00
42.29151999,-71.13185777,Apartment,2,1,1,1,90.00
42.28907107,-71.12823296,House,2,1,1,1,95.00
42.29223824,-71.13449706,Apartment,2,1,1,2,100.00
42.28208581,-71.13334868,House,2,1,1,1,67.00
42.28456151,-71.11972634,Condominium,1,1,1,1,55.00
42.27696862,-71.11775586,Apartment,6,1,2,2,200.00
42.28922069,-71.13071327,Apartment,4,1,1,2,150.00
42.28228163,-71.11681747,House,1,1,1,1,49.00
42.27691292,-71.12823284,House,1,1.5,1,1,75.00
42.28967076,-71.13728641,House,4,1,1,2,110.00
42.28960322,-71.13336749,Apartment,2,1,1,1,115.00
42.2791761,-71.1327718,House,16,1,3,5,125.00
42.28214228,-71.12904915,House,16,2.5,3,7,200.00
42.28174852,-71.14031784,House,2,2,1,1,75.00
42.2756372,-71.12480042,House,1,1,1,1,78.00
42.2875977,-71.13448153,Apartment,4,1,1,2,50.00
42.28997231,-71.13614632,Apartment,1,1,1,1,60.00
42.27896822,-71.13671456,House,1,1.5,1,1,45.00
42.28290546,-71.13267674,House,4,1,2,2,145.00
